OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
11236,DFD2A90D-2C83-4FED-8FA5-496034E1332F,106.99,4,22.08,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,76EE63C8-F357-4357-A6C2-591D3A3B2CFA,2,0,0,1,0,0,0,0.437215121121191
11237,93BD9AC0-8F8D-480D-B7B7-F761274A3C59,41.99,4,19,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,30AE2E25-B0D3-4699-B0B3-DF434FC37BDC,2,0,1,1,1,0,0,0.437515445864456
11238,BF7E229B-CCA1-461C-94C0-C4055EB6C2FB,267.73,4,18.91,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,624FB0E8-054C-4FA3-BABE-28A02661FF2A,2,0,0,1,0,0,0,0.448558999028027
11239,4FC7B156-5D9A-4A1B-8572-62084A6AD745,277.6,4,20,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,83F6BDEC-8E5E-4244-BE49-3733BC79066B,2,0,0,1,0,0,0,0.449478792230536
11240,BACD0A5F-EA71-48C4-A32F-23F3B93C34E8,121.83,4,21.87,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,8B7A6669-6EB3-450E-838F-A1E4E13B7957,2,0,0,1,0,0,0,0.451223268328455
11241,14B76071-9524-410C-83D7-74F268317FA5,357.93,4,27.17,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,A7E39187-9909-4FDB-896A-3480CC2E56C0,2,0,0,1,0,0,0,0.453906433376948
11242,FAAB4575-D16F-4914-9A88-8E33CD3D91F3,343.19,4,27,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,2C059AEC-4210-4DA0-801F-C3D58A65EDDF,2,0,0,1,0,0,0,0.456995436705831
11243,72CA42A5-A8C0-43C3-A5DF-F791C8E97105,29,4,23.97,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,EFE93E55-78D3-4443-AEEF-665F38F43537,2,0,0,1,0,0,0,0.458607562259936
11244,A41E937A-AB64-4925-9683-D231927435E4,162.54,4,28,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,9A0F76BF-E8DA-4A56-8455-FF91CEA019FC,2,0,0,1,0,0,0,0.474501767462482
11245,7E2033C8-0565-4773-B4F0-05A2897A4947,49.96,4,,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,62D340D4-C41C-4123-9913-721B961A123D,2,0,0,1,0,0,0,0.489098787976451
11246,33CC3F44-B69D-405D-9CFE-E43A0A63209A,100,4,22.12,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,AF5E97E8-C7A1-4C06-A63B-C73B210828D4,2,0,0,1,0,0,0,0.493709751936295
11247,5DCBF06D-7AC1-49D8-86C6-A15DAB845CDE,229.2,4,,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,26AA2A07-4F20-4A92-912A-24D77E1AA00E,2,0,0,1,0,0,0,0.505085619181543
11248,043392E3-66D9-4D69-B1D4-B2DC1816859F,253,4,21,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,0FA2F29C-3062-46E6-B0B4-E0EE5E6B3F89,2,0,0,1,0,0,0,0.51110236730524
11249,5552A7AD-0AB8-4B5C-96A3-07106E702080,182.24,4,30.58,DF388F70-FFEC-4070-92D0-5102D02A013C,NAVAID,C3A78363-1CEC-4B66-B000-20D94E472293,2,0,0,1,1,0,0,0.514261327599144
11250,D5047FBD-2617-476E-8B7A-2FE952ABA5AF,60,4,25,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,3DA264F1-BFAF-44E3-A7E6-5FBE5EE92736,2,0,0,0,1,0,0,0.523269150265939
11251,0103A1DE-8E5C-4257-9C6F-BEF65BD85C10,217,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,7955FEA9-225C-4CED-883A-AA0C0C99218B,2,0,0,1,0,0,0,0.537677725209117
