OBJECTID,GLOBAL_ID,DISTANCE,DOGLGPT_ID,DOGLGPTID2,DOGLGPTID3,DOGLGPTID4,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
229,1620072B-048F-4CF4-AEAD-114108B89D64,163.68,,,,,0,0,0,1,0,0
230,C1922AED-3DBA-4671-811D-1C3EECB1C623,144.83,,,,,0,0,0,1,0,0
231,8F8EA7B5-6C82-40AB-B128-FC9F4C078B0F,81.26,,,,,0,0,0,1,0,0
232,2672D7B5-A4D8-4705-9B3A-8AE93557E62A,141.45,,,,,0,0,0,1,0,0
233,F64C2F08-887A-48AF-8A27-A814E4C6788B,232.17,E1B0EBC7-0209-4A94-97FD-D087B18C58F9,,,,0,0,0,1,0,0
234,B0FD6BD3-2F09-455D-B0B5-895808AC0F75,220.72,75B20873-61D6-4904-8F9D-CF17DB3F8A94,,,,0,0,0,1,0,0
235,1972ADC1-9DF4-435A-A3DF-343EDBDF4ECC,175.97,,,,,0,1,0,0,0,0
236,5FB6EA28-DA6E-4A2C-A46A-0CB69A2C8EC4,320.88,,,,,0,0,0,1,0,0
237,7EFC69F1-62C8-404B-BC40-3AA1FF5F12EC,213.18,,,,,0,0,0,1,0,0
238,08E383D3-4699-4515-AC47-813E28073A37,106.14,,,,,0,0,0,1,0,0
239,9FD4F5B5-19FC-4D19-9CD1-7C2171DFD852,126.58,,,,,0,0,0,1,0,0
240,20A41669-809A-4FA7-ABB2-46D05720A191,255.94,,,,,0,0,0,1,0,0
241,031F37A8-E2D1-4B7C-9459-43FD575C41D9,80.06,,,,,0,0,0,1,0,0
242,8BEA05D3-88EA-4E84-8E72-4C822626E01B,106.59,,,,,0,0,0,1,0,0
243,7E7FDB67-809A-418C-8756-8137F1D8090E,171.92,,,,,0,0,0,1,0,0
244,87EF870D-DA81-4172-8D68-67192D2AEFC7,152.05,,,,,0,0,0,1,0,0
245,A43B9425-CD2A-404B-AF45-0A99399F1E54,216.7,,,,,0,0,0,1,0,0
246,CB28C9B3-F659-46DD-93E8-8AC8C7D6005D,105.14,,,,,0,1,0,1,0,0
247,26DAE24A-EAE3-4C4F-9F9D-B89B716416EB,153.56,,,,,0,1,0,1,0,0
248,3E8FA566-D909-451D-85AA-2DAE3D32BD01,284.33,,,,,0,0,0,1,0,0
249,0E89E03E-1AD8-4323-896C-67FF5FD9826D,148.74,,,,,0,0,0,1,0,0
250,E1051D9C-EFFC-49B1-92C5-DD1A35399217,295.07,,,,,0,0,0,1,0,0
251,D8843249-5C0F-4335-9D50-BAD2D5C97D88,228.97,,,,,0,0,0,1,0,0
252,1692E147-74DB-415A-9F75-9D704E70945E,154.65,,,,,0,0,0,1,0,0
253,9B30E0F3-C430-4948-B22D-FF0EF670EEDC,221.73,,,,,0,0,0,1,0,0
254,D822F66E-E19E-43C2-9F8E-BA65EF3489F5,131.15,F4F45B45-8D9B-4087-8A4C-86626B12F3E9,,,,0,1,0,0,0,0
255,804DF992-116A-48AC-B929-736D05FAE02F,183.89,,,,,0,1,0,0,0,0
256,C99BE492-CC7D-483B-813C-C71B3D43B140,118.56,,,,,0,0,0,1,0,0
257,5ABB5933-1825-42E8-B752-B15E96C2D6C2,101.15,,,,,0,0,0,1,0,0
258,8C5A5807-FE72-4A40-93B3-C1EE7B3A0C02,52.15,,,,,0,0,0,1,0,0
