OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
728,TUS,KTUS,UNK,1,2,1.11724830276216e-07,0.00156094009512363
729,TPA,KTPA,UNK,1,2,1.02780776676387e-05,0.0231458992974765
730,TUS,KTUS,NORTH RAMP,1,2,1.72689097090173e-06,0.0235651142093878
731,LAX,KLAX,UNK,1,2,4.09471954299079e-06,0.0153380514044529
732,LAX,KLAX,UNK,1,2,4.34610296906612e-06,0.0148383958929666
733,LAX,KLAX,UNK,1,2,5.70722431803006e-06,0.0151780824177769
734,TUS,KTUS,UNK,1,2,8.2880751506309e-07,0.00424359183954274
735,TUS,KTUS,UNK,1,2,1.27152452478185e-06,0.00850152778127723
736,TUS,KTUS,UNK,1,2,9.79960532276891e-07,0.00537043071227807
737,TUS,KTUS,A-17 RUN-UP RAMP FOR FIXED ENGINE JET STANDS,1,2,2.63859501363831e-06,0.00718663243125052
738,TUS,KTUS,UNK,1,2,1.57090198626975e-07,0.00160352142671494
739,LAX,KLAX,SOUTH PADS,1,2,1.33749424395674e-05,0.0243317089583492
740,TPA,KTPA,REMOTE AIRCRAFT PARKING,1,2,5.937536310399e-06,0.0103601561471658
741,TPA,KTPA,UNK,1,2,1.86697658749457e-07,0.0020566270125735
742,TPA,KTPA,UNK,1,2,1.84260317816209e-07,0.00212994583865012
743,TPA,KTPA,UNK,1,2,3.11213419355513e-06,0.0117276782467478
744,MIA,KMIA,UNK,1,2,5.15860142513702e-06,0.0111941449202201
745,MIA,KMIA,UNK,1,2,1.67346933561963e-06,0.00828935926671409
746,MIA,KMIA,UNK,1,2,2.71640960156083e-07,0.00255538722329217
747,MIA,KMIA,WESTERN U,1,2,9.05014985619346e-06,0.0132062129879426
748,LGB,KLGB,RUN UP,1,2,1.35861774433997e-07,0.00295306317816899
749,LGB,KLGB,UNK,1,2,3.93794989055063e-07,0.00322347364740194
750,LGB,KLGB,UNK,1,2,4.17890303774232e-07,0.00307876155313404
751,LGB,KLGB,RAMP,1,2,6.83296227337385e-07,0.0058738209282426
752,LGB,KLGB,RAMP,1,2,3.09483084492967e-07,0.00326568537178919
753,CRW,KCRW,UNK,1,2,1.31803704542591e-07,0.00170545521185222
754,MIA,KMIA,UNK,1,2,2.87984789838769e-06,0.0110985431761464
755,ALW,KALW,GENERAL AVIATION PARKING,1,2,8.74655510357814e-06,0.0283112170328504
756,ALW,KALW,UNK,1,2,1.33025059767533e-06,0.00560928410978477
757,JFK,KJFK,UNK,1,2,3.63321548702e-05,0.052662887768768
758,JFK,KJFK,UNK,1,2,1.16572446131613e-05,0.0174522231809673
759,CLT,KCLT,UNK,1,2,1.19780590299781e-05,0.0224150406587971
760,MIA,KMIA,EASTERN U,1,2,8.63892000779742e-06,0.0134717865606513
761,MIA,KMIA,CENTRAL BASE,1,2,8.74874240253121e-06,0.011937381422138
762,MIA,KMIA,WEST CARGO BASE,1,2,3.92262109016883e-07,0.00263070035365648
763,MIA,KMIA,UNK,1,2,1.32805404007286e-05,0.0308317658242418
764,JFK,KJFK,UNK,1,2,2.00862668862101e-05,0.0266987548418863
765,JFK,KJFK,UNK,1,2,3.26297390529362e-06,0.00812686685812976
766,LGB,KLGB,UNK,1,2,5.63939758644466e-07,0.0124315874514402
767,LGB,KLGB,RUN UP,1,2,1.05457120994079e-07,0.0026599694380264
768,LGB,KLGB,RUN UP,1,2,2.04900848066458e-07,0.00426247479085811
769,LGB,KLGB,UNK,1,2,6.7885004151726e-07,0.0108472319764162
770,LGB,KLGB,UNK,1,2,2.4022597302064e-06,0.0186655597338688
771,LGB,KLGB,UNK,1,2,3.6670599001809e-07,0.00300096004411823
772,LGB,KLGB,UNK,1,2,1.41236938480394e-05,0.0552200173788035
773,CRW,KCRW,HOT PAD,1,2,9.35071095844791e-07,0.00521056136657449
