X,Y,OBJECTID,GLOBAL_ID,CARTOANGLE,ENRINFO_ID,DISTANCE1,DISTANCE2,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-122.383534289,37.9363473400001,80,E61508D5-3DD4-48F1-BC00-B1F11F291B7F,358.62,2EDC9216-21B2-4C81-B989-033F05FEFEAF,19,14.57,0,0,1,0,1,0
-109.921155415,38.684351125,81,7B569997-F43D-4EAB-9962-02A39F659F23,66.12,D5A8E2AD-AA57-48FA-AE52-575AF400B6AF,40,57.47,0,0,1,0,0,0
-117.806423136,33.847542983,82,2E6F5397-8608-42FF-A40E-85B4A34A5167,72.71,5C3F8C37-9586-4F75-8542-12CA89F40618,13,14.45,0,0,1,0,1,0
-106.943923397,32.116916163,83,19DBA8EE-A1D2-4A55-97DE-2787A0AEA27B,105.57,B259EE51-95D8-4BC3-BBC1-121B09AAB720,35,35.65,0,0,1,0,0,0
-109.329307087,35.9950458050001,84,8A1FEE70-A76D-45A0-BCE2-EB11BF1AD35F,51.65,BE488625-A8EE-4710-986F-7518208AC149,91,74.78,0,0,1,0,0,0
-113.038885961,41.956319186,85,12C0DDB1-0B94-4A7D-B3B0-CA25E52C6E7D,316.35,75964C89-0E92-46E3-8526-5D6237DC8ED1,61,52.51,0,0,1,0,0,0
-121.388320302,36.9877772730001,86,F6948DF4-D9C3-409D-B913-6DB2B95A9212,28,00DE73DC-9DB4-4AC2-A6E8-B9CD1F121D3C,22,43.52,0,0,1,0,0,0
-118.348267718,46.5563167620001,87,C0376A23-4466-480B-A250-8DEBAED9F6F6,25.36,493A0561-512B-4BC9-B708-F5298089A4F5,57,67.47,0,0,1,0,0,0
-113.680964062,47.473091154,88,C773E7B8-3F71-477D-9399-A17D6FA0AB6C,88.58,08442193-A8C4-4DA5-A72A-A77520A9A7BA,80,92.37,0,0,1,0,0,0
-104.431509309,35.1435344990001,89,93DEF213-2ED1-4C55-812F-09774BC36337,86.18,90F3E5E3-765A-4D06-B925-A4DF5E039225,30,41.05,0,0,1,0,0,0
-81.836009056,39.2156788680001,90,10A1F66C-27BD-4A31-B91E-238A12E2D850,356.6,4BD1E8E8-DA5F-40D9-B5D4-022A17EE5391,52,43.55,0,0,1,0,0,0
-107.631490753,39.2960702330001,91,8C36DE1E-AC0A-48AB-9A16-CE31141C31D8,74.97,A1003843-766D-4452-9013-A57C4D2AD4E0,56,35.34,0,0,1,0,0,0
-117.14331557,37.271455406,92,474AADF1-E029-46A4-983B-4E36654D922C,326.15,425160CF-B27A-43FE-A36C-CF55544D00EB,34,58.5,0,0,1,0,0,0
-119.974986892,40.6731740820001,93,C2CD41B1-E459-4B48-B2DE-8068DE88F6F2,348,4A52FEC3-F6F5-497F-A500-D97B1E4CC018,70,111.74,0,0,1,0,0,0
-121.024904926,43.6491760660001,94,FD2E5CCC-A236-46FC-93C4-BF3317AB97F9,342,D7005F41-5519-4275-935F-02E2A9EC2683,73,38.18,0,0,1,0,0,0
-92.929068064,33.910678365,95,D3A13915-1352-4A35-9022-BE23A5909AB9,67,39F1FFCB-7DF2-4836-B4FA-61B6195FF748,62,53.88,0,0,1,0,0,0
-156.231361002,20.3962764880001,96,04590313-4B33-4140-A2B9-12FE48FB3A11,117.8,018DB777-22C6-43AA-9CC2-C839EFFA54F5,47,24.81,0,0,0,0,0,1
-106.112214603,35.3049016430001,97,1919BC76-86FD-4B5E-9AAF-BB9B8E607A0C,65.49,2103BF7E-597B-4399-85F5-82316C110413,38,52.31,0,0,1,0,0,0
-80.8660041209999,31.843483963,98,DB0A4E1D-DD5D-4EF6-96D3-1A4E034872A9,20,CED78585-A5E4-4022-BE0F-62709F37526C,96,75.7,0,0,1,0,0,0
-111.246517191,40.230147044,99,6C025CFD-3A8E-42BC-B1E2-624420230A7E,94.58,BE9FAC53-4C16-4A40-9EE5-DB79518FA01B,32,51.7,0,0,1,0,0,0
-112.425298164,35.894856921,100,D4AC4A36-24BF-4D2A-97ED-B46DA917B987,73.18,3B2177C4-DBF6-4481-A442-1E68489A4603,57,14.16,0,0,1,0,0,0
-112.425298164,35.894856921,101,0E1F53A6-C613-435B-B183-E17146144F4F,73.18,44C02874-F2D3-4F1B-9518-99E209286CA5,57,14.16,0,0,1,0,0,0
-117.547171371,34.256274268,102,03EB3C4B-C8C7-4DDC-9624-B0F82F2BF7A3,48.2,1045ABD3-89A6-4795-9996-B5A0FD0CFD0C,16,65.22,0,0,1,0,0,0
-123.035686516,43.1403162060001,103,4864432D-0219-48F9-8D88-5DA8649482C0,352.25,28F41128-9018-4825-A4BF-C5CA69AE6B45,40,59.39,0,0,1,0,0,0
-114.193540906,41.975761999,104,6EE09F2E-C7B0-4F33-A01D-2531EF9D8BF2,336.76,B687E37C-182D-45FB-89B2-98C653CD91E5,40,33.02,0,0,1,0,0,0
-108.282071254,38.745316642,105,DAB53A39-CB62-4765-8A81-9031F87883BB,308.63,3749B4B3-8175-4C58-AA05-61E02C3F6928,23,30.44,0,0,1,0,0,0
-79.191834715,38.808839296,106,2730C23E-42EE-4A55-BAA5-9E43B98577B3,98.18,4F57FDA4-F272-4FC2-9FF3-F9DD15684D08,43,63.08,0,0,1,0,0,0
-133.911069444,56.1524444440001,107,C745BB2D-EECB-4300-AA38-9956097ED5C0,310.55,5AB4A3AC-899F-424F-8922-2E233B792968,103,69.14,1,0,0,0,0,0
-165.813025571,62.66959739,108,573B3F06-C1CF-4065-9A03-C57C8BCE6429,7.29,5AA9EB42-3FC4-4460-9848-9BA72ADCE9F2,70,110.41,1,0,0,0,0,0
-79.152197601,37.6697623320001,109,C7A89D19-C2D6-4B8C-A731-6A728B64E313,65.68,3CC9DB6E-10B8-4F5E-AFE5-DC8D30B5AA4B,48,51.76,0,0,1,0,0,0
-154.560312359,70.9058041900001,110,EADC02CD-9A9C-4B26-87A3-D42C2A16C7C4,116.54,7CE5AE41-793C-4548-801F-2B29FC2990B4,50,81.69,1,0,0,0,0,0
-122.023910739,43.4361989450001,111,C32BCD32-5EAD-4B58-9E44-A77C0D45404B,350.45,01BFC8F7-4C30-4018-A078-749977A6F1C3,78,140.89,0,1,0,1,0,0
-77.432493177,40.9693805730001,112,5599645B-F3D0-4C9D-80DF-EF571240AA03,0.73,524B0712-751D-4111-A3C5-D709EFAB8F3C,122,43.53,0,0,0,1,0,0
-92.4901753,41.433450873,113,294953D7-714A-4EF3-A6F6-44AD0B2697A2,3.37,39B809F8-7AE0-4D87-ADF0-C05753A739E8,78,67.48,0,0,0,1,0,0
-106.852704323,35.379682544,114,E2828524-E51C-43C6-9F36-B3DB05DC78F7,259.31,E6A6B488-B086-4DF4-BF93-FD6ED621417A,86,115.63,0,0,0,1,0,0
-110.539748554,40.768937592,115,19DDC5CA-1B54-4EB4-BB68-B625BB3526D2,93.77,BE2F7E92-7266-45E8-95BB-0A7C96DD39C7,66,148.37,0,0,0,1,0,0
-102.797700722,38.6896648900001,116,571A76EE-FBD8-4262-9F4D-7198389C6A34,72.35,BBD9C032-E36D-48FA-850D-0B4EB3EE0668,80,125.51,0,0,0,1,0,0
-156.642874594,20.975714381,117,9E85876F-2BD9-4BAE-859D-B14BCEDC00D3,108.16,3A7ACE63-29B2-453D-8FC7-199028ACA4EB,31,13.13,0,0,0,0,0,1
-117.413869326,44.5338430840001,118,6705E905-E91A-44F0-B7FC-8383E5B8F6FE,137.36,05F49BCC-5BF3-47D6-8C62-39188EF1083D,25,79.09,0,0,1,0,0,0
-120.165932047,46.731026484,119,DA587147-9505-45C1-B561-A243BD54426A,49.94,9EAEC431-2B0B-4240-A053-71F5C6D6FEEA,15,45.27,0,0,1,0,0,0
-163.606699875,62.2592230480001,120,B6988A2B-F07C-466E-AC7C-1B2CB71C3ECB,141.84,53FD3803-B770-4558-995F-966D97A492E8,40,15.1,1,0,0,0,0,0
-109.794712812,44.4717191570001,121,C647181A-635E-4A9F-BEE8-4342980D02B6,30.99,D3353ED1-3FA9-4CFF-BBA3-24AD837066A1,45,94.48,0,0,1,0,0,0
-114.205530052,41.476818919,122,4C5E08D7-4003-41CC-93B2-F7C0961D1FDD,60.04,E204399F-67BF-4D97-8DCB-A1DA39B8D533,40,90.02,0,0,1,0,0,0
-158.597733653,61.9828595210001,123,8C1A2BA7-5BF1-4955-83D3-304808E2A346,50.85,B991066F-7CB7-4D6C-8EDB-82E1AC99F981,117,102.3,1,0,0,0,0,0
-153.359427378,63.571042327,124,00439A2F-6C73-4CB7-9CF9-37E0536B6E39,57.57,966EF735-C2F4-486B-A281-D1862222B285,70,130.03,1,0,0,0,0,0
-145.596856481,63.1985027160001,125,2F263F75-D2A4-4F2D-ADF4-BBBB99BAD9C2,356.05,2110596D-4570-4B96-A897-4A7A66C07189,63,48.62,1,0,0,0,0,0
