OBJECTID,GLOBAL_ID,DISTANCE,STARTPT_ID,ENDPT_ID,ENRINFO_ID,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
93,06370DD1-C546-44A2-B564-F92C7B277C70,114.61,E894CD0E-F5B2-4C75-95BE-DAA74FF81CF8,84E0E30D-0D29-4B68-BEB2-E17A1BCC8ACD,4F643334-7B9F-4907-AF72-6D7FC9CABE05,0,0,0,1,0,0
94,F3051F79-9D9C-4AA2-B455-E353927B0877,161.6,84E0E30D-0D29-4B68-BEB2-E17A1BCC8ACD,48FFD1AF-9F94-43BC-BD59-9AE02D4BEC46,A2228F68-3776-4770-A59B-334ACD7DDA4C,0,0,0,1,0,0
95,B75A9E48-9A43-4471-AA0B-35C6FBA4280B,163.65,E4BBB918-7322-42CD-8BC7-207D5DB7DE4E,A5A00265-2200-4D68-9634-11BBF228DA05,24F03A3F-3EF9-4C80-9DF4-DB0B3D4865B0,0,0,0,1,0,0
96,87B66B50-A960-4D40-9591-76C7CA431262,117.15,041ED958-125B-408F-B3F0-0522A3BCE55C,93CA7A06-EEA2-4E52-B9C6-3452D51197F3,61BCFFF2-1ACB-4EF9-BE89-00DE62868749,0,0,0,1,0,0
97,EA3BEB86-5079-4385-BD8B-D500084A4377,106.36,93CA7A06-EEA2-4E52-B9C6-3452D51197F3,FCF715E4-2F7D-4E06-8120-23E273FB7210,ED97D44B-B8F7-4B10-9838-9EB0EDE5DC9E,0,0,0,1,0,0
98,FC28DDAE-4AE9-48AF-B282-2A7E50C0C9E0,167.17,FCF715E4-2F7D-4E06-8120-23E273FB7210,1CBD513B-D713-4E9A-AB45-2A61AF8CB13B,1E49D764-20C1-4C43-BD14-DD20CBEA4061,0,0,0,1,0,0
99,654B4C4E-E9AB-4B58-AF71-16B8D14A14B3,90.15,084A273A-22AC-4075-AA4A-E557AD3C929C,4A6C0C38-93B6-4E4F-A2B2-3FE05DE22953,5CA9A573-C692-47E0-85E6-61DD893631D2,0,0,0,1,0,0
100,612CF540-565D-4E87-BF10-90EFDC8DA056,115.5,4A6C0C38-93B6-4E4F-A2B2-3FE05DE22953,81A46AC3-E030-47D5-AC91-8122A5A2BDAF,76D5470B-AB64-4D48-8205-3D39D3B00980,0,0,0,1,0,0
101,42D5182E-A57A-470E-9A25-3241D3B17FCF,221.96,81A46AC3-E030-47D5-AC91-8122A5A2BDAF,F3B45074-0D74-472D-8FEA-B113500BD3A9,41D12D7C-80E5-4F71-AE09-C461FFD60E98,0,0,0,1,0,0
102,6F05946E-EDD8-41C0-A91F-B14EA90D6D1F,97.18,B33B9897-ECDE-4DF0-8B5B-0A1F24E24822,B8D5B220-3385-47A5-BF88-4BAFC9E26331,9B9E4E30-DF40-4123-8263-2B49E36B1622,0,0,0,1,0,0
103,82F87402-C777-4C3B-AA1F-C44507577B25,80.18,B8D5B220-3385-47A5-BF88-4BAFC9E26331,C95B12AF-7B4F-4B32-9116-BB59315FAB2E,64126777-BE6E-49E6-8382-B74F0B2A99BE,0,0,0,1,0,0
104,E9627F48-A82F-47EB-AB0D-6DF31418857F,179.16,C95B12AF-7B4F-4B32-9116-BB59315FAB2E,DA2CBB49-6E2F-4165-8E2E-A3639853C3EC,48B96432-BE23-4DBA-9486-E7A36AABC4EE,0,0,0,1,0,0
105,F757301C-7FCF-4403-B8C1-FC34E535D741,155.93,DA2CBB49-6E2F-4165-8E2E-A3639853C3EC,B936E3F9-37E7-4178-921D-12FB12BF17E1,74A4CDB2-9D99-4AF2-92E6-9730814B2136,0,0,0,1,0,0
