OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
10892,PLN,KPLN,B,1,2,1.41123348377354e-07,0.00186934801948346
10893,PLN,KPLN,B,1,2,2.47280503982115e-07,0.00277107380593882
10894,PLN,KPLN,B,1,2,3.20693516187021e-07,0.00401941702323752
10895,PLN,KPLN,C,1,2,9.8069806623417e-08,0.00168710937633893
10896,PLN,KPLN,C,1,2,1.24107004995794e-07,0.00203791120518769
10897,PLN,KPLN,C,1,2,2.72365022382925e-07,0.00419954330291575
10898,AZO,KAZO,E,1,2,4.51789804736639e-07,0.00451187887170299
10899,AZO,KAZO,A,1,2,4.38153847426292e-07,0.0056854626670424
10900,AZO,KAZO,H,1,2,1.20898270011046e-07,0.00203182267629311
10901,AZO,KAZO,UNK,1,2,1.17861372965142e-07,0.00155286695144346
10902,AZO,KAZO,B,1,2,4.31212129115011e-07,0.003724684816875
10903,AZO,KAZO,C,1,2,2.9576752869076e-07,0.00404059175898099
10904,AZO,KAZO,C_C2_UNK,1,2,4.0141059414172e-07,0.00380637271628729
10905,AZO,KAZO,C2,1,2,9.73866988935104e-08,0.00172093685262969
10906,AZO,KAZO,C,1,2,1.27418404161084e-07,0.00226973499528297
10907,AZO,KAZO,UNK,1,2,1.71883586738697e-07,0.00385788558848324
10908,AZO,KAZO,UNK,1,7,1.67703770596189e-07,0.00186060702170374
10909,AZO,KAZO,UNK,1,7,2.51775017459654e-07,0.00212010538643152
10910,CMH,KCMH,UNK,1,2,8.42782128529507e-07,0.00566636353614815
10911,PLN,KPLN,B,1,2,1.05485807845584e-07,0.00169424266368244
10912,PLN,KPLN,A_B,1,2,2.9797813739206e-07,0.0024808322752142
10913,PLN,KPLN,UNK,1,2,9.9948269268596e-08,0.00164160641271947
10914,PLN,KPLN,A_UNK,1,2,2.16208048495897e-07,0.00208216682504554
10915,PLN,KPLN,A,1,2,2.46906293660532e-07,0.00265497618309176
10916,PLN,KPLN,UNK,1,2,2.38825002774057e-07,0.0038994774988019
10917,PLN,KPLN,A,1,2,4.72695328657124e-07,0.00527623220988856
10918,PLN,KPLN,A_UNK,1,2,1.17700454167757e-07,0.001533111480947
10919,PLN,KPLN,A,1,2,2.45084294962783e-07,0.00278146130272605
10920,PLN,KPLN,A,1,2,8.0887775766314e-07,0.00873436463460696
10921,PLN,KPLN,B1,1,2,1.69345232840096e-07,0.00229159208260413
10922,CMH,KCMH,E2,1,2,2.24084260480595e-07,0.00216251446657745
10923,CMH,KCMH,A1,1,2,2.20631818592665e-07,0.0023685124355608
10924,CMH,KCMH,C3,1,2,7.5610364547174e-07,0.00786799366368599
10925,CMH,KCMH,A5,1,2,2.17184297060524e-07,0.00237008466025419
10926,CMH,KCMH,B1,1,2,3.18669435728225e-07,0.00357878887693013
10927,FSM,KFSM,A_G,1,2,5.74464033668842e-07,0.00368010213746036
10928,FSM,KFSM,E,1,2,2.87467855741852e-07,0.00362650406035054
10929,FSM,KFSM,A,1,2,9.46041609495296e-07,0.00953628695519592
10930,FSM,KFSM,UNK,1,2,3.26887035134726e-07,0.00394939294862155
10931,FSM,KFSM,A7,1,2,1.32590670699761e-07,0.00156755298818186
10932,PLN,KPLN,C,1,2,1.07214468593984e-07,0.00194609068861483
10933,PLN,KPLN,B,1,2,1.04337511852516e-07,0.00191519548560273
10934,PLN,KPLN,A,1,2,2.411825852245e-07,0.00291054571503492
10935,PLN,KPLN,A,1,2,1.74717115442036e-07,0.00212807569458424
10936,PLN,KPLN,C,1,2,1.08069911103348e-07,0.0019768428324645
10937,PLN,KPLN,B_C,1,2,1.380026430132e-07,0.0016839022222143
10938,PLN,KPLN,B,1,2,2.01881675820914e-07,0.00279933334502887
10939,PLN,KPLN,C,1,2,1.93571176091616e-07,0.00282147560535175
10940,PLN,KPLN,B,1,2,8.2055339589715e-07,0.0115491696372978
10941,PLN,KPLN,B,1,2,1.03503075422895e-07,0.00194362755425942
10942,PLN,KPLN,B1,1,2,3.14117725552787e-07,0.00402843886816705
10943,PLN,KPLN,B,1,2,4.43255657955888e-07,0.00547552854330214
10944,FSM,KFSM,A6,1,2,1.87240923328613e-07,0.00200971788578582
10945,FSM,KFSM,A_A6,1,2,5.19672421303574e-07,0.00349584089802847
10946,FSM,KFSM,A,1,2,6.73229528777575e-07,0.00649917016743133
10947,FSM,KFSM,A,1,2,1.84377995537943e-07,0.00208447225214299
10948,FSM,KFSM,A_UNK,1,2,2.285225911558e-07,0.00206825078748203
10949,FSM,KFSM,UNK,1,2,4.30940350308519e-07,0.00413206652100722
10950,FSM,KFSM,A_UNK,1,2,2.69274687259924e-07,0.00230081008917397
10951,FSM,KFSM,A,1,2,2.88694081973517e-07,0.00297439091339972
10952,FSM,KFSM,A_A7,1,2,2.11160456453641e-07,0.00218942744291664
10953,FSM,KFSM,UNK,1,2,4.18582133973697e-07,0.00414148926829518
10954,FSM,KFSM,C,1,2,1.60171310450985e-07,0.00232900461047556
10955,FSM,KFSM,A_C,1,2,3.2925057796146e-07,0.00269274409405602
10956,PLN,KPLN,UNK_UNK,1,2,4.87747557767829e-08,0.00103007270523291
10957,PLN,KPLN,UNK,1,2,1.63215532228422e-07,0.00350777126477705
10958,PLN,KPLN,UNK,1,2,1.9073601176256e-07,0.00339562350490053
10959,PLN,KPLN,UNK_UNK,1,2,4.21325898683489e-08,0.000915608935238374
10960,PLN,KPLN,UNK,1,2,4.08089001948525e-08,0.000931423659540369
10961,PLN,KPLN,UNK_UNK,1,2,4.92071573023924e-08,0.00109235171572088
10962,PLN,KPLN,A_UNK,1,2,1.26766034030945e-07,0.00163559573838647
10963,PLN,KPLN,B_B1,1,2,1.57839090861658e-07,0.00195921381089663
10964,PLN,KPLN,UNK,1,2,1.53502287250987e-07,0.00349286305971804
