X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-89.105257778,42.558009444,1875,D446FA80-220D-400A-91D9-BA7D7DC16B18,JVL,JANESVILLE,42-33-28.829N,089-06-18.927W,H24,,931.5,114.3,3,,2,,0CE1FE2A-A5F6-496B-9DCB-9D37DCD543D2,2,90X,1,0,3,0,0,0,1,1,0,0
-89.339696944,43.1448350000001,1876,F0811514-6302-4F30-B893-4216AAC41C70,MSN,MADISON,43-08-41.406N,089-20-22.909W,H24,,856.5,108.6,3,,3,,3D23423E-2B79-49D6-AB36-595A6B923BCA,1,,1,0,3,0,0,0,1,0,0,0
-89.339696944,43.1448350000001,1877,73742002-B8AA-4B35-9B66-C5448527284F,MSN,MADISON,43-08-41.406N,089-20-22.909W,H24,,856.5,108.6,3,,4,,3D23423E-2B79-49D6-AB36-595A6B923BCA,1,23X,1,0,3,0,0,0,1,0,0,0
-88.555931944,43.990432222,1878,8ABD14A2-B5C3-44F8-8DCF-530E0D8AC894,OSH,OSHKOSH,43-59-25.549N,088-33-21.357W,H24,,781.5,116.75,2,,3,,28B5761D-1AEC-4F8B-88B1-73B5E407C931,1,,1,1,2,0,0,0,1,1,0,0
-88.555931944,43.990432222,1879,590B688B-6915-4D0A-9C3F-A30B038EB6CD,OSH,OSHKOSH,43-59-25.549N,088-33-21.357W,H24,,781.5,116.75,2,,4,,28B5761D-1AEC-4F8B-88B1-73B5E407C931,1,114Y,1,1,2,0,0,0,1,1,0,0
-90.6418475,43.9378230560001,1880,DD08C00D-2AE7-47B6-9622-59F5F5A20AC5,CMY,MCCOY,43-56-16.167N,090-38-30.688W,H24,,970.6,412,0,,1,,6AE31EEF-C91A-4C64-8E9D-BDECB26C534E,,,1,0,0,0,0,0,1,0,0,0
-80.2678619439999,39.253218889,1881,AE08E4CC-A064-4EEF-A055-3A2DDE8D847E,CKB,CLARKSBURG,39-15-11.584N,080-16-04.302W,H24,,1426.5,112.6,-4,,3,,E19912B3-2A8A-44DA-AA0A-4820A10FE64B,1,,1,0,-4,0,0,0,1,0,0,0
-80.2678619439999,39.253218889,1882,78170FF2-0A46-4BB7-BAF4-BE2D14E40698,CKB,CLARKSBURG,39-15-11.584N,080-16-04.302W,H24,,1426.5,112.6,-4,,2,,E19912B3-2A8A-44DA-AA0A-4820A10FE64B,1,73X,1,0,-4,0,0,0,1,0,0,0
-80.0992725,38.914435833,1883,62FA2DB9-42FE-4E24-BC26-356394444E71,EKN,ELKINS,38-54-51.969N,080-05-57.381W,H24,,2160,114.2,-7,,3,,1BD276F9-1E9B-442D-A9AD-11960908BBB3,2,,1,0,-7,0,0,0,1,1,0,0
-80.0992725,38.914435833,1884,97585247-DE19-4A98-9A34-719B05660D64,EKN,ELKINS,38-54-51.969N,080-05-57.381W,H24,,2160,114.2,-7,,4,,1BD276F9-1E9B-442D-A9AD-11960908BBB3,2,89X,1,0,-7,0,0,0,1,1,0,0
-79.859415,38.8939436110001,1885,6E80DC19-89DF-4AE6-A554-19F51087C6F2,RQY,RANDOLPH COUNTY,38-53-38.197N,079-51-33.894W,H24,,1937.8,284,-7,,1,,3F2EF9E7-1A5F-4FAD-BAD4-E750626ACD5E,,,1,0,-7,0,0,0,1,0,0,0
-78.9895,39.225492778,1886,6F6BB4A7-7D07-4669-B5A2-740689770EA7,ESL,KESSEL,39-13-31.774N,078-59-22.200W,H24,,2590,110.8,-6,,3,,95BD8EBC-7760-47E0-9670-2D07ADB1588D,2,,1,0,-6,0,0,0,1,1,0,0
-78.9895,39.225492778,1887,B40ACF00-1D62-4029-8A35-DAA2AFECB41E,ESL,KESSEL,39-13-31.774N,078-59-22.200W,H24,,2590,110.8,-6,,2,,95BD8EBC-7760-47E0-9670-2D07ADB1588D,2,45X,1,0,-6,0,0,0,1,1,0,0
-80.468436111,37.782176667,1888,A9B84400-36F8-4DBE-B989-BA0D9804CBCA,LW,BUSHI,37-46-56.179N,080-28-06.805W,H24,,2161.8,346,-8,,1,,CAA3065F-9AAE-4F8B-BA65-D00E4EA564AD,,,1,0,-8,0,0,0,1,0,0,0
-77.848356111,39.3855722220001,1889,E37C9B72-65EB-4C16-992E-D9F0C0E78C42,MRB,MARTINSBURG,39-23-08.060N,077-50-54.082W,H24,,600,112.1,-7,,3,,4875D248-0959-471B-8BD3-10C89E6A99EF,2,,1,0,-7,0,0,0,1,1,1,0
-77.848356111,39.3855722220001,1890,0322A427-20A9-4496-85F0-7606EFD80C94,MRB,MARTINSBURG,39-23-08.060N,077-50-54.082W,H24,,600,112.1,-7,,4,,4875D248-0959-471B-8BD3-10C89E6A99EF,2,58X,1,0,-7,0,0,0,1,1,1,0
-111.046766389,41.272487778,1891,E6992EBA-02DB-4915-894E-E45305D15A87,EVW,EVANSTON,41-16-20.956N,111-02-48.359W,H24,,7145,109.6,13,,3,,EDD8EAD4-AC5A-4D64-B3E5-8416F9C6D372,3,,1,0,13,0,0,0,1,1,0,0
-111.046766389,41.272487778,1892,6F1DDF5E-8E7E-4949-91C8-C7CF774B2915,EVW,EVANSTON,41-16-20.956N,111-02-48.359W,H24,,7145,109.6,13,,2,,EDD8EAD4-AC5A-4D64-B3E5-8416F9C6D372,3,33X,1,0,13,0,0,0,1,1,0,0
-110.424061111,41.3784400000001,1893,97C5C7B5-393B-4114-ABC3-70B1D5262029,FBR,FORT BRIDGER,41-22-42.384N,110-25-26.620W,H24,,7057.5,114.45,14,,3,,2E8783BF-BCDA-46C4-B441-331E10723B50,2,,1,0,14,0,0,0,1,1,0,0
-110.424061111,41.3784400000001,1894,7BF9C734-6727-44BC-9EF8-9C8568E65469,FBR,FORT BRIDGER,41-22-42.384N,110-25-26.620W,H24,,7057.5,114.45,14,,2,,2E8783BF-BCDA-46C4-B441-331E10723B50,2,91Y,1,0,14,0,0,0,1,1,0,0
